match_id,date,kickoff_utc,stage,is_knockout,home_team,away_team,p_home,p_draw,p_away,pick,pick_conf,home_progress,away_progress,progress_pick,progress_conf,advanced,completed,actual,actual_score,correct
95,2026-07-07,16:00,Round of 16,True,Argentina,Egypt,0.6378,0.245,0.1172,H,0.6378,0.8068,0.1932,Argentina,0.8068,,False,,,
96,2026-07-07,20:00,Round of 16,True,Switzerland,Colombia,0.2808,0.29,0.4292,A,0.4292,0.4113,0.5887,Colombia,0.5887,,False,,,
97,2026-07-09,20:00,Quarter-finals,True,France,Morocco,0.4183,0.322,0.2597,H,0.4183,0.5974,0.4026,France,0.5974,,False,,,
99,2026-07-11,21:00,Quarter-finals,True,Norway,England,0.2562,0.2274,0.5164,A,0.5164,0.3513,0.6487,England,0.6487,,False,,,
1,2026-06-11,19:00,Group Stage,False,Mexico,South Africa,0.639,0.2444,0.1166,H,0.639,,,,,,True,H,2-0,True
2,2026-06-11,23:00,Group Stage,False,South Korea,Czechia,0.4924,0.2486,0.259,H,0.4924,,,,,,True,H,2-1,True
3,2026-06-12,19:00,Group Stage,False,Canada,Bosnia and Herzegovina,0.7444,0.1726,0.0831,H,0.7444,,,,,,True,D,1-1,False
4,2026-06-12,23:00,Group Stage,False,USA,Paraguay,0.4589,0.2858,0.2553,H,0.4589,,,,,,True,H,4-1,True
5,2026-06-13,15:00,Group Stage,False,Qatar,Switzerland,0.1364,0.1819,0.6817,A,0.6817,,,,,,True,D,1-1,False
6,2026-06-13,18:00,Group Stage,False,Brazil,Morocco,0.3841,0.3222,0.2937,H,0.3841,,,,,,True,D,1-1,False
7,2026-06-13,21:00,Group Stage,False,Haiti,Scotland,0.2867,0.2469,0.4664,A,0.4664,,,,,,True,A,0-1,True
8,2026-06-13,23:59,Group Stage,False,Australia,Türkiye,0.497,0.2537,0.2492,H,0.497,,,,,,True,H,2-0,True
9,2026-06-14,15:00,Group Stage,False,Germany,Curaçao,0.8157,0.1215,0.0627,H,0.8157,,,,,,True,H,7-1,True
10,2026-06-14,18:00,Group Stage,False,Netherlands,Japan,0.3644,0.2544,0.3812,A,0.3812,,,,,,True,D,2-2,False
11,2026-06-14,21:00,Group Stage,False,Côte d'Ivoire,Ecuador,0.2383,0.3369,0.4248,A,0.4248,,,,,,True,H,1-0,False
12,2026-06-14,23:59,Group Stage,False,Sweden,Tunisia,0.3583,0.2786,0.3631,A,0.3631,,,,,,True,H,5-1,False
13,2026-06-15,15:00,Group Stage,False,Spain,Cabo Verde,0.8534,0.1076,0.039,H,0.8534,,,,,,True,D,0-0,False
14,2026-06-15,18:00,Group Stage,False,Belgium,Egypt,0.5251,0.2748,0.2001,H,0.5251,,,,,,True,D,1-1,False
15,2026-06-15,21:00,Group Stage,False,Saudi Arabia,Uruguay,0.1614,0.3027,0.5359,A,0.5359,,,,,,True,D,1-1,False
16,2026-06-15,23:59,Group Stage,False,IR Iran,New Zealand,0.5201,0.253,0.2269,H,0.5201,,,,,,True,D,2-2,False
17,2026-06-16,15:00,Group Stage,False,France,Senegal,0.4821,0.2813,0.2365,H,0.4821,,,,,,True,H,3-1,True
18,2026-06-16,18:00,Group Stage,False,Iraq,Norway,0.2001,0.2454,0.5544,A,0.5544,,,,,,True,A,1-4,True
19,2026-06-16,21:00,Group Stage,False,Argentina,Algeria,0.6302,0.2353,0.1345,H,0.6302,,,,,,True,H,3-0,True
20,2026-06-16,23:59,Group Stage,False,Austria,Jordan,0.482,0.2571,0.2609,H,0.482,,,,,,True,H,3-1,True
21,2026-06-17,15:00,Group Stage,False,Portugal,Congo DR,0.6177,0.2467,0.1356,H,0.6177,,,,,,True,D,1-1,False
22,2026-06-17,18:00,Group Stage,False,England,Croatia,0.5391,0.2647,0.1962,H,0.5391,,,,,,True,H,4-2,True
23,2026-06-17,21:00,Group Stage,False,Ghana,Panama,0.3294,0.267,0.4036,A,0.4036,,,,,,True,H,1-0,False
24,2026-06-17,23:59,Group Stage,False,Uzbekistan,Colombia,0.1959,0.2838,0.5203,A,0.5203,,,,,,True,A,1-3,True
25,2026-06-18,15:00,Group Stage,False,Mexico,South Korea,0.5179,0.2858,0.1963,H,0.5179,,,,,,True,H,1-0,True
26,2026-06-18,18:00,Group Stage,False,Czechia,South Africa,0.4547,0.2703,0.2749,H,0.4547,,,,,,True,D,1-1,False
27,2026-06-18,21:00,Group Stage,False,Canada,Qatar,0.6796,0.1999,0.1205,H,0.6796,,,,,,True,H,6-0,True
28,2026-06-18,23:59,Group Stage,False,Switzerland,Bosnia and Herzegovina,0.6757,0.2005,0.1238,H,0.6757,,,,,,True,H,4-1,True
29,2026-06-19,15:00,Group Stage,False,Brazil,Haiti,0.801,0.1354,0.0636,H,0.801,,,,,,True,H,3-0,True
30,2026-06-19,18:00,Group Stage,False,Scotland,Morocco,0.1741,0.2908,0.5351,A,0.5351,,,,,,True,A,0-1,True
31,2026-06-19,21:00,Group Stage,False,USA,Australia,0.3537,0.2922,0.354,A,0.354,,,,,,True,H,2-0,False
32,2026-06-19,23:59,Group Stage,False,Türkiye,Paraguay,0.4279,0.2634,0.3087,H,0.4279,,,,,,True,A,0-1,False
33,2026-06-20,15:00,Group Stage,False,Germany,Côte d'Ivoire,0.5847,0.2262,0.1891,H,0.5847,,,,,,True,H,2-1,True
34,2026-06-20,18:00,Group Stage,False,Ecuador,Curaçao,0.7404,0.1844,0.0753,H,0.7404,,,,,,True,D,0-0,False
35,2026-06-20,21:00,Group Stage,False,Netherlands,Sweden,0.5865,0.1977,0.2158,H,0.5865,,,,,,True,H,5-1,True
36,2026-06-20,23:59,Group Stage,False,Tunisia,Japan,0.1573,0.2242,0.6185,A,0.6185,,,,,,True,A,0-4,True
37,2026-06-21,15:00,Group Stage,False,Belgium,IR Iran,0.497,0.2528,0.2502,H,0.497,,,,,,True,D,0-0,False
38,2026-06-21,18:00,Group Stage,False,New Zealand,Egypt,0.3308,0.2998,0.3694,A,0.3694,,,,,,True,A,1-3,True
39,2026-06-21,21:00,Group Stage,False,Spain,Saudi Arabia,0.7516,0.1766,0.0718,H,0.7516,,,,,,True,H,4-0,True
40,2026-06-21,23:59,Group Stage,False,Uruguay,Cabo Verde,0.5881,0.2839,0.128,H,0.5881,,,,,,True,D,2-2,False
41,2026-06-22,15:00,Group Stage,False,France,Iraq,0.7617,0.1642,0.0741,H,0.7617,,,,,,True,H,3-0,True
42,2026-06-22,18:00,Group Stage,False,Norway,Senegal,0.4574,0.2484,0.2942,H,0.4574,,,,,,True,H,3-2,True
43,2026-06-22,21:00,Group Stage,False,Argentina,Austria,0.6681,0.2193,0.1125,H,0.6681,,,,,,True,H,2-0,True
44,2026-06-22,23:59,Group Stage,False,Jordan,Algeria,0.2697,0.2475,0.4828,A,0.4828,,,,,,True,A,1-2,True
