match_id,date,kickoff_utc,stage,is_knockout,home_team,away_team,completed,p_home,p_draw,p_away,pick,pick_conf,home_progress,away_progress,progress_pick,progress_conf,actual,actual_score,correct
95,2026-07-07,16:00,Round of 16,True,Argentina,Egypt,False,0.7344,0.1883,0.0774,H,0.7344,0.862,0.138,Argentina,0.862,,,
96,2026-07-07,20:00,Round of 16,True,Switzerland,Colombia,False,0.2444,0.303,0.4526,A,0.4526,0.3806,0.6194,Colombia,0.6194,,,
97,2026-07-09,20:00,Quarter-finals,True,France,Morocco,False,0.4849,0.2965,0.2186,H,0.4849,0.6524,0.3476,France,0.6524,,,
99,2026-07-11,21:00,Quarter-finals,True,Norway,England,False,0.2351,0.3011,0.4637,A,0.4637,0.369,0.631,England,0.631,,,
1,2026-06-11,19:00,Group Stage,False,Mexico,South Africa,True,0.6822,0.2136,0.1042,H,0.6822,,,,,H,2-0,True
2,2026-06-11,23:00,Group Stage,False,South Korea,Czechia,True,0.4265,0.3025,0.271,H,0.4265,,,,,H,2-1,True
3,2026-06-12,19:00,Group Stage,False,Canada,Bosnia and Herzegovina,True,0.6117,0.2453,0.1429,H,0.6117,,,,,D,1-1,False
4,2026-06-12,23:00,Group Stage,False,USA,Paraguay,True,0.2595,0.3014,0.4392,A,0.4392,,,,,H,4-1,False
5,2026-06-13,15:00,Group Stage,False,Qatar,Switzerland,True,0.0718,0.1735,0.7547,A,0.7547,,,,,D,1-1,False
6,2026-06-13,18:00,Group Stage,False,Brazil,Morocco,True,0.4266,0.3085,0.2648,H,0.4266,,,,,D,1-1,False
7,2026-06-13,21:00,Group Stage,False,Haiti,Scotland,True,0.222,0.2869,0.4911,A,0.4911,,,,,A,0-1,True
8,2026-06-13,23:59,Group Stage,False,Australia,Türkiye,True,0.2803,0.3078,0.4119,A,0.4119,,,,,H,2-0,False
9,2026-06-14,15:00,Group Stage,False,Germany,Curaçao,True,0.7616,0.17,0.0684,H,0.7616,,,,,H,7-1,True
10,2026-06-14,18:00,Group Stage,False,Netherlands,Japan,True,0.359,0.3148,0.3261,H,0.359,,,,,D,2-2,False
11,2026-06-14,21:00,Group Stage,False,Côte d'Ivoire,Ecuador,True,0.1656,0.2659,0.5685,A,0.5685,,,,,H,1-0,False
12,2026-06-14,23:59,Group Stage,False,Sweden,Tunisia,True,0.3795,0.3051,0.3154,H,0.3795,,,,,H,5-1,True
13,2026-06-15,15:00,Group Stage,False,Spain,Cabo Verde,True,0.8823,0.0927,0.025,H,0.8823,,,,,D,0-0,False
14,2026-06-15,18:00,Group Stage,False,Belgium,Egypt,True,0.4972,0.2883,0.2145,H,0.4972,,,,,D,1-1,False
15,2026-06-15,21:00,Group Stage,False,Saudi Arabia,Uruguay,True,0.1223,0.231,0.6467,A,0.6467,,,,,D,1-1,False
16,2026-06-15,23:59,Group Stage,False,IR Iran,New Zealand,True,0.5273,0.2776,0.1952,H,0.5273,,,,,D,2-2,False
17,2026-06-16,15:00,Group Stage,False,France,Senegal,True,0.5625,0.2705,0.167,H,0.5625,,,,,H,3-1,True
18,2026-06-16,18:00,Group Stage,False,Iraq,Norway,True,0.1518,0.2545,0.5937,A,0.5937,,,,,A,1-4,True
19,2026-06-16,21:00,Group Stage,False,Argentina,Algeria,True,0.6603,0.2283,0.1115,H,0.6603,,,,,H,3-0,True
20,2026-06-16,23:59,Group Stage,False,Austria,Jordan,True,0.4654,0.2948,0.2398,H,0.4654,,,,,H,3-1,True
21,2026-06-17,15:00,Group Stage,False,Portugal,Congo DR,True,0.6432,0.234,0.1228,H,0.6432,,,,,D,1-1,False
22,2026-06-17,18:00,Group Stage,False,England,Croatia,True,0.466,0.3006,0.2334,H,0.466,,,,,H,4-2,True
23,2026-06-17,21:00,Group Stage,False,Ghana,Panama,True,0.1548,0.2523,0.5929,A,0.5929,,,,,H,1-0,False
24,2026-06-17,23:59,Group Stage,False,Uzbekistan,Colombia,True,0.1482,0.2554,0.5964,A,0.5964,,,,,A,1-3,True
25,2026-06-18,15:00,Group Stage,False,Mexico,South Korea,True,0.4459,0.3019,0.2522,H,0.4459,,,,,H,1-0,True
